timestamp,heures_fonctionnement,TI171,TI170,TI169,VI167X,VI167Y,AZI165,etat_machine
2026-02-01 00:00:00,0.0,68.0,72.0,73.0,14.0031,15.0052,-0.19,0
2026-02-01 01:00:00,1.0,68.0,72.0,74.0,14.0,15.0983,-0.2,0
2026-02-01 02:00:00,2.0,68.0,73.0,74.0,14.0025,15.0035,-0.2,0
2026-02-01 03:00:00,3.0,68.0,73.0,74.0,14.237,15.1236,-0.21,0
2026-02-01 04:00:00,4.0,67.0,73.0,74.0,14.6265,15.4304,-0.21,0
2026-02-01 05:00:00,5.0,67.98,73.0,74.0,14.0261,15.0279,-0.21,0
2026-02-01 06:00:00,6.0,68.0,73.0,74.0,14.3676,15.0899,-0.21,0
2026-02-01 07:00:00,7.0,67.0,73.0,74.0,14.3917,15.3676,-0.21,0
2026-02-01 08:00:00,8.0,67.0,73.0,74.0,14.0149,14.7161,-0.21,0
2026-02-01 09:00:00,9.0,67.04,73.0,74.0,14.0,14.9924,-0.21,0
2026-02-01 10:00:00,10.0,67.0,73.0,74.0,14.5936,15.1473,-0.2181,0
2026-02-01 11:00:00,11.0,68.0,73.0,74.0,14.025,15.0604,-0.22,0
2026-02-01 12:00:00,12.0,68.0,72.0,74.0,14.6479,15.0157,-0.22,0
2026-02-01 13:35:00,13.0,68.0,73.87,75.0,14.5214,15.1962,-0.22,0
2026-02-01 14:35:00,14.0,68.0,74.0,75.0,14.1487,15.3428,-0.23,0
2026-02-01 15:35:00,15.0,68.0,73.0,75.0,14.0034,15.4048,-0.23,0
2026-02-01 16:35:00,16.0,68.0,73.0,75.0,14.797,15.4515,-0.23,0
2026-02-01 17:35:00,17.0,68.0,73.0,75.0,14.6407,15.6721,-0.23,0
2026-02-01 18:35:00,18.0,67.0,74.0,75.0,14.028,15.0337,-0.23,0
2026-02-01 19:35:00,19.0,68.0,74.0,75.0,14.4482,15.8046,-0.23,0
2026-02-01 20:35:00,20.0,69.0,72.0,73.0,13.7677,15.1783,-0.18,0
2026-02-01 21:35:00,21.0,69.0,72.0,72.0,13.9987,15.2319,-0.17,0
2026-02-01 22:35:00,22.0,69.0,72.0,72.0,13.9972,15.1163,-0.17,0
2026-02-01 23:35:00,23.0,68.0,73.0,74.0,14.0008,15.0123,-0.21,0
2026-02-02 05:16:00,24.0,66.64,71.99,72.0,13.0,14.6523,-0.21,0
2026-02-02 06:16:00,25.0,68.0,73.0,74.0,13.5894,14.4438,-0.21,0
2026-02-02 07:16:00,26.0,70.0,70.0,71.0,13.5209,15.2541,-0.14,0
2026-02-02 08:16:00,27.0,70.0,70.0,71.0,13.2568,15.1965,-0.1434,0
2026-02-02 09:16:00,28.0,71.0,70.0,71.0,13.0,15.9245,-0.15,0
2026-02-02 10:16:00,29.0,70.0,70.0,71.0,10.9868,15.2209,-0.1405,0
